"gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Hdlbp","NKT_cells",0.0661,6.68,0.134,0.722,0.852,0.837,"WB","Compartment","muscat_edgeR"
"Septin2","NKT_cells",0.37,4.38,1.25,0.29,0.516,0.481,"WB","Compartment","muscat_edgeR"
"Stk25","NKT_cells",0.277,5.5,1.07,0.326,0.549,0.516,"WB","Compartment","muscat_edgeR"
"Thap4","NKT_cells",-0.00936,3.79,0.000773,0.978,0.989,0.988,"WB","Compartment","muscat_edgeR"
"Atg4b","NKT_cells",-0.0486,5.26,0.0365,0.852,0.927,0.919,"WB","Compartment","muscat_edgeR"
"Dtymk","NKT_cells",-1.02,5.01,15.3,0.00296,0.0513,0.0351,"WB","Compartment","muscat_edgeR"
"Ing5","NKT_cells",-0.304,4.97,1.1,0.319,0.542,0.509,"WB","Compartment","muscat_edgeR"
"D2hgdh","NKT_cells",-0.0314,4.38,0.00682,0.936,0.968,0.965,"WB","Compartment","muscat_edgeR"
"Pdcd1","NKT_cells",2.26,3.11,8.35,0.0164,0.116,0.087,"WB","Compartment","muscat_edgeR"
"Fam174a","NKT_cells",0.491,5.5,5.36,0.0435,0.188,0.152,"WB","Compartment","muscat_edgeR"
"St8sia4","NKT_cells",-0.163,7.62,1.21,0.297,0.521,0.487,"WB","Compartment","muscat_edgeR"
"Macir","NKT_cells",0.0953,5.01,0.0919,0.768,0.881,0.867,"WB","Compartment","muscat_edgeR"
"Ppip5k2","NKT_cells",-0.131,5.55,0.416,0.533,0.725,0.699,"WB","Compartment","muscat_edgeR"
"Gin1","NKT_cells",-0.3,4.34,0.946,0.354,0.576,0.543,"WB","Compartment","muscat_edgeR"
"Pam","NKT_cells",-0.613,6.5,9.05,0.0133,0.106,0.0776,"WB","Compartment","muscat_edgeR"
"1810006J02Rik","NKT_cells",-0.263,5.17,0.902,0.365,0.586,0.554,"WB","Compartment","muscat_edgeR"
"Pign","NKT_cells",-0.238,5.13,1.13,0.313,0.538,0.503,"WB","Compartment","muscat_edgeR"
"Relch","NKT_cells",-0.00723,6.63,0.00158,0.969,0.985,0.984,"WB","Compartment","muscat_edgeR"
"Gm7160","NKT_cells",0.191,3.55,0.195,0.668,0.819,0.8,"WB","Compartment","muscat_edgeR"
"Zcchc2","NKT_cells",-0.148,5.86,0.547,0.477,0.683,0.652,"WB","Compartment","muscat_edgeR"
"Phlpp1","NKT_cells",0.662,5.37,7.95,0.0184,0.122,0.0925,"WB","Compartment","muscat_edgeR"
"Bcl2","NKT_cells",-0.614,10.4,18.2,0.0017,0.0389,0.0268,"WB","Compartment","muscat_edgeR"
"D630008O14Rik","NKT_cells",-0.374,4.55,1.26,0.287,0.514,0.479,"WB","Compartment","muscat_edgeR"
"Kdsr","NKT_cells",0.0655,5.15,0.0514,0.825,0.914,0.904,"WB","Compartment","muscat_edgeR"
"Vps4b","NKT_cells",0.211,6.55,1.61,0.233,0.457,0.42,"WB","Compartment","muscat_edgeR"
"Tsn","NKT_cells",-0.0319,6.91,0.0437,0.839,0.921,0.912,"WB","Compartment","muscat_edgeR"
"Nifk","NKT_cells",-0.67,5.04,4.38,0.0631,0.228,0.189,"WB","Compartment","muscat_edgeR"
"Clasp1","NKT_cells",-0.339,6.14,3.79,0.0806,0.26,0.219,"WB","Compartment","muscat_edgeR"
"Tmem185b","NKT_cells",0.286,3.99,0.82,0.387,0.606,0.574,"WB","Compartment","muscat_edgeR"
"Ptpn4","NKT_cells",-0.743,7.42,20.1,0.00122,0.0319,0.0226,"WB","Compartment","muscat_edgeR"
"Tmem37","NKT_cells",-0.172,4.37,0.334,0.576,0.755,0.732,"WB","Compartment","muscat_edgeR"
"Dbi","NKT_cells",0.157,5.48,0.251,0.627,0.79,0.769,"WB","Compartment","muscat_edgeR"
"3110009E18Rik","NKT_cells",-0.768,3.89,2.32,0.159,0.373,0.332,"WB","Compartment","muscat_edgeR"
"Insig2","NKT_cells",0.193,4.37,0.514,0.49,0.693,0.663,"WB","Compartment","muscat_edgeR"
"Ccdc93","NKT_cells",-0.403,5.28,3.58,0.0879,0.271,0.23,"WB","Compartment","muscat_edgeR"
"Ddx18","NKT_cells",0.286,5.79,2.13,0.176,0.394,0.353,"WB","Compartment","muscat_edgeR"
"Actr3","NKT_cells",-0.014,9.78,0.0103,0.921,0.961,0.957,"WB","Compartment","muscat_edgeR"
"Mgat5","NKT_cells",0.239,7.27,2.23,0.167,0.383,0.342,"WB","Compartment","muscat_edgeR"
"Tmem163","NKT_cells",-0.937,6.16,13.9,0.00399,0.0587,0.0409,"WB","Compartment","muscat_edgeR"
"Ccnt2","NKT_cells",0.241,6.11,1.34,0.274,0.499,0.464,"WB","Compartment","muscat_edgeR"
"Rab3gap1","NKT_cells",0.131,6.44,0.503,0.494,0.695,0.667,"WB","Compartment","muscat_edgeR"
"Zranb3","NKT_cells",-0.279,3.21,0.278,0.61,0.779,0.757,"WB","Compartment","muscat_edgeR"
"R3hdm1","NKT_cells",0.0477,7.01,0.0642,0.805,0.902,0.891,"WB","Compartment","muscat_edgeR"
"Ubxn4","NKT_cells",0.456,7.52,8.92,0.0138,0.109,0.0795,"WB","Compartment","muscat_edgeR"
"Mcm6","NKT_cells",-0.00105,6.21,0.0000255,0.996,0.998,0.998,"WB","Compartment","muscat_edgeR"
"Dars","NKT_cells",-0.158,6.62,0.823,0.386,0.605,0.573,"WB","Compartment","muscat_edgeR"
"Cxcr4","NKT_cells",0.877,7.17,6.17,0.0326,0.162,0.128,"WB","Compartment","muscat_edgeR"
"Gm36347","NKT_cells",0.759,3.51,2.53,0.143,0.353,0.312,"WB","Compartment","muscat_edgeR"
"Cd55","NKT_cells",0.772,6.03,20.3,0.00117,0.0311,0.0221,"WB","Compartment","muscat_edgeR"
"Gm16083","NKT_cells",0.585,3.91,1.87,0.202,0.424,0.385,"WB","Compartment","muscat_edgeR"
"Pfkfb2","NKT_cells",-0.196,3.23,0.124,0.733,0.859,0.844,"WB","Compartment","muscat_edgeR"
"Yod1","NKT_cells",-1.03,3.1,3.6,0.0875,0.27,0.229,"WB","Compartment","muscat_edgeR"
"Mapkapk2","NKT_cells",-0.866,6.06,6.06,0.0339,0.166,0.131,"WB","Compartment","muscat_edgeR"
"Eif2d","NKT_cells",-0.138,4.71,0.198,0.666,0.818,0.799,"WB","Compartment","muscat_edgeR"
"Rassf5","NKT_cells",0.0286,7.16,0.0306,0.865,0.933,0.926,"WB","Compartment","muscat_edgeR"
"Ikbke","NKT_cells",-0.642,6.38,10.2,0.00979,0.0909,0.0658,"WB","Compartment","muscat_edgeR"
"Srgap2","NKT_cells",-0.0678,6.77,0.146,0.711,0.846,0.83,"WB","Compartment","muscat_edgeR"
"Ctse","NKT_cells",0.621,7.16,10.4,0.00933,0.0894,0.0643,"WB","Compartment","muscat_edgeR"
"Slc41a1","NKT_cells",0.274,3.65,0.328,0.579,0.757,0.734,"WB","Compartment","muscat_edgeR"
"Rab29","NKT_cells",-0.253,4.01,0.516,0.489,0.692,0.663,"WB","Compartment","muscat_edgeR"
"Nucks1","NKT_cells",-0.32,7.04,3.07,0.111,0.306,0.265,"WB","Compartment","muscat_edgeR"
"Elk4","NKT_cells",-0.275,7.05,3.45,0.0934,0.279,0.239,"WB","Compartment","muscat_edgeR"
"Dstyk","NKT_cells",-0.266,4.14,0.503,0.495,0.695,0.667,"WB","Compartment","muscat_edgeR"
"Rbbp5","NKT_cells",-0.241,5.44,1.29,0.283,0.509,0.474,"WB","Compartment","muscat_edgeR"
"Mdm4","NKT_cells",0.0672,7.19,0.213,0.654,0.811,0.79,"WB","Compartment","muscat_edgeR"
"Ppp1r15b","NKT_cells",0.425,6.19,3.51,0.0909,0.276,0.235,"WB","Compartment","muscat_edgeR"
"Plekha6","NKT_cells",-0.246,3.69,0.397,0.543,0.732,0.707,"WB","Compartment","muscat_edgeR"
"Snrpe","NKT_cells",0.373,7.03,3.06,0.111,0.306,0.266,"WB","Compartment","muscat_edgeR"
"Zc3h11a","NKT_cells",0.271,4.78,0.934,0.357,0.579,0.546,"WB","Compartment","muscat_edgeR"
"Zbed6","NKT_cells",0.0916,4.36,0.0487,0.83,0.916,0.907,"WB","Compartment","muscat_edgeR"
"Lax1","NKT_cells",0.186,6.65,0.898,0.366,0.587,0.555,"WB","Compartment","muscat_edgeR"
"Atp2b4","NKT_cells",0.257,5.91,1.14,0.312,0.537,0.502,"WB","Compartment","muscat_edgeR"
"Btg2","NKT_cells",0.716,8.26,23.9,0.000662,0.0232,0.0166,"WB","Compartment","muscat_edgeR"
"Chil1","NKT_cells",-2.9,3.04,8.23,0.0163,0.116,0.0867,"WB","Compartment","muscat_edgeR"
"Tmem183a","NKT_cells",0.267,5.02,1.49,0.251,0.476,0.439,"WB","Compartment","muscat_edgeR"
"Cyb5r1","NKT_cells",0.156,3.91,0.199,0.665,0.818,0.798,"WB","Compartment","muscat_edgeR"
"Adipor1","NKT_cells",0.222,6.65,1.96,0.192,0.412,0.372,"WB","Compartment","muscat_edgeR"
"Klhl12","NKT_cells",0.57,4.78,3.62,0.0868,0.269,0.228,"WB","Compartment","muscat_edgeR"
"Rabif","NKT_cells",-0.073,5.07,0.0686,0.799,0.899,0.887,"WB","Compartment","muscat_edgeR"
"Kdm5b","NKT_cells",-0.206,6.77,0.971,0.348,0.571,0.538,"WB","Compartment","muscat_edgeR"
"Ppp1r12b","NKT_cells",-0.254,5.7,0.741,0.41,0.625,0.594,"WB","Compartment","muscat_edgeR"
"Ube2t","NKT_cells",0.474,3.55,1.06,0.327,0.55,0.517,"WB","Compartment","muscat_edgeR"
"Ptpn7","NKT_cells",-0.384,6.63,3.94,0.0756,0.251,0.21,"WB","Compartment","muscat_edgeR"
"Arl8a","NKT_cells",0.265,4.89,0.93,0.358,0.579,0.547,"WB","Compartment","muscat_edgeR"
"Rnpep","NKT_cells",-0.287,5.07,1.36,0.272,0.497,0.462,"WB","Compartment","muscat_edgeR"
"Timm17a","NKT_cells",0.226,5.61,1.04,0.332,0.555,0.522,"WB","Compartment","muscat_edgeR"
"Ipo9","NKT_cells",-0.233,5.42,1.19,0.302,0.527,0.493,"WB","Compartment","muscat_edgeR"
"Csrp1","NKT_cells",0.262,5.17,1.18,0.302,0.527,0.493,"WB","Compartment","muscat_edgeR"
"Tmem9","NKT_cells",0.254,3.61,0.253,0.626,0.79,0.769,"WB","Compartment","muscat_edgeR"
"Kif21b","NKT_cells",-0.0523,7.85,0.118,0.738,0.863,0.847,"WB","Compartment","muscat_edgeR"
"Camsap2","NKT_cells",-0.508,5.08,3.47,0.0925,0.278,0.238,"WB","Compartment","muscat_edgeR"
"Zfp281","NKT_cells",0.397,5.14,2.77,0.127,0.331,0.289,"WB","Compartment","muscat_edgeR"
"Gm4258","NKT_cells",-0.916,3.51,1.78,0.212,0.434,0.396,"WB","Compartment","muscat_edgeR"
"Ptprc","NKT_cells",-0.024,11.3,0.0301,0.866,0.934,0.927,"WB","Compartment","muscat_edgeR"
"Nek7","NKT_cells",0.126,7.07,0.66,0.436,0.646,0.617,"WB","Compartment","muscat_edgeR"
"2310009B15Rik","NKT_cells",-0.0778,3.59,0.0325,0.861,0.931,0.924,"WB","Compartment","muscat_edgeR"
"Dennd1b","NKT_cells",-0.268,7.7,2.93,0.118,0.318,0.276,"WB","Compartment","muscat_edgeR"
"Zbtb41","NKT_cells",0.0682,4.32,0.0376,0.85,0.926,0.917,"WB","Compartment","muscat_edgeR"
"Cdc73","NKT_cells",-0.339,6.09,2.05,0.183,0.402,0.362,"WB","Compartment","muscat_edgeR"
"Glrx2","NKT_cells",-0.228,5.22,1.13,0.313,0.538,0.503,"WB","Compartment","muscat_edgeR"
"Ro60","NKT_cells",0.0514,3.76,0.0124,0.914,0.958,0.953,"WB","Compartment","muscat_edgeR"
"Uchl5","NKT_cells",0.208,5.67,1.1,0.319,0.542,0.509,"WB","Compartment","muscat_edgeR"
"Rgs2","NKT_cells",0.866,6.75,26.4,0.000455,0.0192,0.0138,"WB","Compartment","muscat_edgeR"
"Rgs1","NKT_cells",2.03,6.96,43.8,0.0000631,0.00621,0.00496,"WB","Compartment","muscat_edgeR"
"Rgs18","NKT_cells",-0.073,3.1,0.0158,0.902,0.953,0.947,"WB","Compartment","muscat_edgeR"
"Odr4","NKT_cells",-0.0233,4.76,0.00841,0.929,0.964,0.961,"WB","Compartment","muscat_edgeR"
"Tpr","NKT_cells",0.193,8.85,2.01,0.187,0.406,0.366,"WB","Compartment","muscat_edgeR"
"Ivns1abp","NKT_cells",0.307,6.55,2.48,0.147,0.358,0.316,"WB","Compartment","muscat_edgeR"
"Swt1","NKT_cells",-0.00523,5.91,0.000762,0.979,0.989,0.988,"WB","Compartment","muscat_edgeR"
"Trmt1l","NKT_cells",-0.074,6.04,0.176,0.684,0.829,0.811,"WB","Compartment","muscat_edgeR"
"Rnf2","NKT_cells",0.65,5.81,12.4,0.00566,0.0695,0.0493,"WB","Compartment","muscat_edgeR"
"Niban1","NKT_cells",-0.591,6.46,5.78,0.0373,0.173,0.138,"WB","Compartment","muscat_edgeR"
"Edem3","NKT_cells",-0.138,5.61,0.498,0.497,0.697,0.668,"WB","Compartment","muscat_edgeR"
"1700025G04Rik","NKT_cells",-0.281,7.86,3.58,0.088,0.271,0.23,"WB","Compartment","muscat_edgeR"
"Gm36920","NKT_cells",0.192,3.55,0.211,0.656,0.812,0.792,"WB","Compartment","muscat_edgeR"
"Tsen15","NKT_cells",-0.548,3.81,2.57,0.14,0.349,0.307,"WB","Compartment","muscat_edgeR"
"Arpc5","NKT_cells",0.238,8.25,2.7,0.132,0.337,0.295,"WB","Compartment","muscat_edgeR"
"Ncf2","NKT_cells",-2.84,4.8,19.9,0.00127,0.033,0.0231,"WB","Compartment","muscat_edgeR"
"Smg7","NKT_cells",0.415,6.79,6.24,0.0318,0.16,0.126,"WB","Compartment","muscat_edgeR"
"Nmnat2","NKT_cells",1.59,4.89,25.3,0.000534,0.0208,0.0149,"WB","Compartment","muscat_edgeR"
"Gm28960","NKT_cells",1.99,4.15,16.7,0.00228,0.0453,0.0311,"WB","Compartment","muscat_edgeR"
"E330020D12Rik","NKT_cells",0.0636,3.96,0.0176,0.897,0.951,0.944,"WB","Compartment","muscat_edgeR"
"Dhx9","NKT_cells",0.257,7.88,2.46,0.148,0.359,0.318,"WB","Compartment","muscat_edgeR"
"Rnasel","NKT_cells",-0.00533,5.64,0.00074,0.979,0.989,0.989,"WB","Compartment","muscat_edgeR"
"Glul","NKT_cells",0.556,5.79,5.7,0.0385,0.176,0.141,"WB","Compartment","muscat_edgeR"
"Ier5","NKT_cells",0.973,7.36,25.1,0.000547,0.0212,0.015,"WB","Compartment","muscat_edgeR"
"Mr1","NKT_cells",-0.103,3.55,0.0443,0.838,0.92,0.911,"WB","Compartment","muscat_edgeR"
"Stx6","NKT_cells",-0.0398,5.25,0.0213,0.887,0.946,0.939,"WB","Compartment","muscat_edgeR"
"Xpr1","NKT_cells",0.0342,6.23,0.0294,0.867,0.934,0.927,"WB","Compartment","muscat_edgeR"
"Acbd6","NKT_cells",0.153,6.29,0.743,0.409,0.625,0.594,"WB","Compartment","muscat_edgeR"
"Qsox1","NKT_cells",-0.321,4.42,1.27,0.286,0.512,0.477,"WB","Compartment","muscat_edgeR"
"Cep350","NKT_cells",-0.2,7.5,1.7,0.222,0.445,0.408,"WB","Compartment","muscat_edgeR"
"Tor1aip1","NKT_cells",0.355,6.67,3.97,0.0746,0.249,0.209,"WB","Compartment","muscat_edgeR"
"Tor1aip2","NKT_cells",0.321,6.64,4.37,0.0634,0.228,0.189,"WB","Compartment","muscat_edgeR"
"Gm2000","NKT_cells",0.221,3.49,0.257,0.624,0.788,0.767,"WB","Compartment","muscat_edgeR"
"Soat1","NKT_cells",-0.424,4.83,1.73,0.218,0.441,0.403,"WB","Compartment","muscat_edgeR"
"Abl2","NKT_cells",-0.68,5.95,5.28,0.0447,0.19,0.154,"WB","Compartment","muscat_edgeR"
"Tor3a","NKT_cells",-0.299,4.31,0.813,0.389,0.607,0.576,"WB","Compartment","muscat_edgeR"
"Fam20b","NKT_cells",-0.447,4.69,2.32,0.159,0.373,0.332,"WB","Compartment","muscat_edgeR"
"Ralgps2","NKT_cells",0.461,4.5,2.23,0.166,0.382,0.341,"WB","Compartment","muscat_edgeR"
"Cop1","NKT_cells",-0.469,6.14,3.8,0.0804,0.26,0.218,"WB","Compartment","muscat_edgeR"
"4930523C07Rik","NKT_cells",0.637,7.71,12.9,0.00507,0.0651,0.0466,"WB","Compartment","muscat_edgeR"
"Mrps14","NKT_cells",0.342,6.4,3.21,0.104,0.295,0.255,"WB","Compartment","muscat_edgeR"
"Cacybp","NKT_cells",0.61,6.79,9.71,0.0111,0.0966,0.0707,"WB","Compartment","muscat_edgeR"
"Rabgap1l","NKT_cells",-0.27,8.62,2.97,0.116,0.315,0.273,"WB","Compartment","muscat_edgeR"
"Gm36975","NKT_cells",-0.843,3.94,2.62,0.137,0.346,0.303,"WB","Compartment","muscat_edgeR"
"Rc3h1","NKT_cells",0.102,6.96,0.294,0.6,0.771,0.749,"WB","Compartment","muscat_edgeR"
"Zbtb37","NKT_cells",-0.513,4.48,3.35,0.0973,0.285,0.244,"WB","Compartment","muscat_edgeR"
"Gas5","NKT_cells",0.53,8.16,12.2,0.00597,0.071,0.0507,"WB","Compartment","muscat_edgeR"
"Dars2","NKT_cells",-0.664,3.18,1.8,0.209,0.432,0.394,"WB","Compartment","muscat_edgeR"
"Cenpl","NKT_cells",1.47,3.26,11.3,0.00743,0.0797,0.057,"WB","Compartment","muscat_edgeR"
"Klhl20","NKT_cells",-0.18,5.34,0.619,0.45,0.66,0.63,"WB","Compartment","muscat_edgeR"
"Prdx6","NKT_cells",0.862,7.39,35.1,0.000154,0.0103,0.00772,"WB","Compartment","muscat_edgeR"
"Fasl","NKT_cells",1.15,6.85,19.3,0.0014,0.035,0.0241,"WB","Compartment","muscat_edgeR"
"Suco","NKT_cells",0.64,7.43,9.63,0.0113,0.0978,0.0715,"WB","Compartment","muscat_edgeR"
"Pigc","NKT_cells",0.692,3.89,3.7,0.0836,0.264,0.223,"WB","Compartment","muscat_edgeR"
"Mettl13","NKT_cells",0.00178,4.17,0.0000312,0.996,0.998,0.998,"WB","Compartment","muscat_edgeR"
"Vamp4","NKT_cells",0.824,5.95,14.5,0.00354,0.0561,0.0384,"WB","Compartment","muscat_edgeR"
"Prrc2c","NKT_cells",0.543,9.35,15.1,0.00307,0.0522,0.0358,"WB","Compartment","muscat_edgeR"
"Kifap3","NKT_cells",-0.345,3.79,0.879,0.371,0.591,0.559,"WB","Compartment","muscat_edgeR"
"Scyl3","NKT_cells",-0.06,5.41,0.072,0.794,0.895,0.884,"WB","Compartment","muscat_edgeR"
"Sell","NKT_cells",-0.27,8.77,3.74,0.0823,0.263,0.221,"WB","Compartment","muscat_edgeR"
"F5","NKT_cells",0.92,3.66,1.49,0.251,0.476,0.44,"WB","Compartment","muscat_edgeR"
"Ccdc181","NKT_cells",-0.647,3.26,1.69,0.223,0.446,0.409,"WB","Compartment","muscat_edgeR"
"Blzf1","NKT_cells",-0.0847,4.11,0.0583,0.814,0.908,0.896,"WB","Compartment","muscat_edgeR"
"Nme7","NKT_cells",-0.371,4.17,1,0.34,0.563,0.53,"WB","Compartment","muscat_edgeR"
"Atp1b1","NKT_cells",-0.0807,6.26,0.105,0.753,0.871,0.856,"WB","Compartment","muscat_edgeR"
"Xcl1","NKT_cells",-0.249,7.42,0.745,0.408,0.625,0.593,"WB","Compartment","muscat_edgeR"
"Sft2d2","NKT_cells",-0.215,5.85,1.11,0.317,0.542,0.507,"WB","Compartment","muscat_edgeR"
"Tiprl","NKT_cells",0.98,6.28,25.9,0.000494,0.0202,0.0143,"WB","Compartment","muscat_edgeR"
"Dcaf6","NKT_cells",0.122,6.02,0.466,0.511,0.708,0.681,"WB","Compartment","muscat_edgeR"
"Mpc2","NKT_cells",0.404,6.28,3.84,0.0787,0.257,0.216,"WB","Compartment","muscat_edgeR"
"Rcsd1","NKT_cells",-0.705,7.7,22.4,0.000832,0.0268,0.0189,"WB","Compartment","muscat_edgeR"
"Creg1","NKT_cells",-0.437,5.24,2.79,0.126,0.329,0.287,"WB","Compartment","muscat_edgeR"
"Gm16565","NKT_cells",0.723,3.36,1.68,0.225,0.449,0.411,"WB","Compartment","muscat_edgeR"
"Cd247","NKT_cells",-0.0679,8.27,0.193,0.67,0.821,0.802,"WB","Compartment","muscat_edgeR"
"Pou2f1","NKT_cells",-0.277,6.21,1.92,0.196,0.417,0.378,"WB","Compartment","muscat_edgeR"
"Tada1","NKT_cells",0.335,5.04,1.7,0.222,0.445,0.407,"WB","Compartment","muscat_edgeR"
"Pogk","NKT_cells",0.577,5.75,9.94,0.0104,0.0939,0.0682,"WB","Compartment","muscat_edgeR"
"Fam78b","NKT_cells",-1.27,5.1,20.1,0.00122,0.0319,0.0226,"WB","Compartment","muscat_edgeR"
"Uck2","NKT_cells",-0.44,5.78,3.47,0.0925,0.279,0.238,"WB","Compartment","muscat_edgeR"
"Tmco1","NKT_cells",0.25,5.13,0.934,0.357,0.579,0.546,"WB","Compartment","muscat_edgeR"
"Aldh9a1","NKT_cells",0.432,5.37,2.84,0.123,0.325,0.283,"WB","Compartment","muscat_edgeR"
"Pbx1","NKT_cells",-2.85,4.99,12.4,0.0056,0.0688,0.0489,"WB","Compartment","muscat_edgeR"
"Uap1","NKT_cells",0.447,4.21,1.72,0.219,0.442,0.404,"WB","Compartment","muscat_edgeR"
"Uhmk1","NKT_cells",-0.319,6.27,2.06,0.182,0.4,0.36,"WB","Compartment","muscat_edgeR"
"Nos1ap","NKT_cells",-2.78,2.95,16.9,0.00198,0.0422,0.029,"WB","Compartment","muscat_edgeR"
"Atf6","NKT_cells",-0.126,6.11,0.489,0.501,0.7,0.672,"WB","Compartment","muscat_edgeR"
"Dusp12","NKT_cells",-0.0484,4.36,0.0266,0.874,0.938,0.931,"WB","Compartment","muscat_edgeR"
"Fcgr2b","NKT_cells",2.36,3.38,22.2,0.00087,0.0272,0.0192,"WB","Compartment","muscat_edgeR"
"Fcgr3","NKT_cells",-0.729,3.92,3.32,0.0987,0.287,0.247,"WB","Compartment","muscat_edgeR"
"Sdhc","NKT_cells",-0.00829,6.05,0.00218,0.964,0.983,0.981,"WB","Compartment","muscat_edgeR"
"Tomm40l","NKT_cells",0.194,4.03,0.253,0.626,0.79,0.769,"WB","Compartment","muscat_edgeR"
"Fcer1g","NKT_cells",0.239,8.47,1.24,0.292,0.518,0.483,"WB","Compartment","muscat_edgeR"
"Ndufs2","NKT_cells",0.534,6.37,10.7,0.00859,0.0856,0.0613,"WB","Compartment","muscat_edgeR"
"B4galt3","NKT_cells",0.43,3.85,1.11,0.318,0.542,0.508,"WB","Compartment","muscat_edgeR"
"Ppox","NKT_cells",0.325,4.5,1.43,0.259,0.485,0.449,"WB","Compartment","muscat_edgeR"
"Usp21","NKT_cells",1.15,4.37,12.1,0.00604,0.071,0.0509,"WB","Compartment","muscat_edgeR"
"Ufc1","NKT_cells",0.0124,6.07,0.00356,0.954,0.978,0.976,"WB","Compartment","muscat_edgeR"
"Dedd","NKT_cells",-0.158,4.26,0.284,0.606,0.776,0.754,"WB","Compartment","muscat_edgeR"
"Nit1","NKT_cells",0.853,4.47,8.85,0.0141,0.109,0.0802,"WB","Compartment","muscat_edgeR"
"Pfdn2","NKT_cells",0.454,6.42,8.11,0.0175,0.119,0.0902,"WB","Compartment","muscat_edgeR"
"Arhgap30","NKT_cells",0.14,7.97,0.894,0.367,0.588,0.555,"WB","Compartment","muscat_edgeR"
"Usf1","NKT_cells",0.0785,5.31,0.137,0.72,0.851,0.836,"WB","Compartment","muscat_edgeR"
"Alyref2","NKT_cells",0.455,3.72,1.28,0.285,0.511,0.476,"WB","Compartment","muscat_edgeR"
"Cd244a","NKT_cells",-0.218,5.94,0.69,0.426,0.638,0.608,"WB","Compartment","muscat_edgeR"
"Ly9","NKT_cells",0.18,6.93,1.44,0.258,0.484,0.448,"WB","Compartment","muscat_edgeR"
"Slamf7","NKT_cells",0.53,6.5,3.68,0.0845,0.265,0.224,"WB","Compartment","muscat_edgeR"
"Cd48","NKT_cells",-0.0223,7.48,0.0159,0.902,0.953,0.947,"WB","Compartment","muscat_edgeR"
"Slamf1","NKT_cells",2.02,3.85,15.2,0.00304,0.052,0.0356,"WB","Compartment","muscat_edgeR"
"Cd84","NKT_cells",-0.45,7.66,7.74,0.0196,0.126,0.0959,"WB","Compartment","muscat_edgeR"
"Slamf6","NKT_cells",0.0714,7.02,0.128,0.728,0.856,0.841,"WB","Compartment","muscat_edgeR"
"Ncstn","NKT_cells",0.369,5.78,2.92,0.119,0.319,0.277,"WB","Compartment","muscat_edgeR"
"Copa","NKT_cells",0.366,7.09,5.77,0.0375,0.174,0.139,"WB","Compartment","muscat_edgeR"
"Pex19","NKT_cells",0.0646,4.54,0.0552,0.819,0.91,0.9,"WB","Compartment","muscat_edgeR"
"Dcaf8","NKT_cells",0.092,6.85,0.325,0.582,0.759,0.736,"WB","Compartment","muscat_edgeR"
"Pea15a","NKT_cells",0.741,5.61,10.9,0.00819,0.0833,0.0599,"WB","Compartment","muscat_edgeR"
"Igsf8","NKT_cells",0.996,4.17,9.33,0.0123,0.102,0.0746,"WB","Compartment","muscat_edgeR"
"Pigm","NKT_cells",0.556,4.54,2.83,0.124,0.326,0.284,"WB","Compartment","muscat_edgeR"
"Tagln2","NKT_cells",0.92,8.74,29.1,0.000316,0.0153,0.0114,"WB","Compartment","muscat_edgeR"
"Aim2","NKT_cells",-0.175,6.16,0.604,0.455,0.665,0.635,"WB","Compartment","muscat_edgeR"
"Ifi206","NKT_cells",0.248,6.61,1.59,0.236,0.46,0.423,"WB","Compartment","muscat_edgeR"
"Ifi214","NKT_cells",0.424,5.07,2.29,0.162,0.376,0.335,"WB","Compartment","muscat_edgeR"
"Ifi213","NKT_cells",0.755,6.22,15.6,0.00282,0.0504,0.0346,"WB","Compartment","muscat_edgeR"
"Ifi209","NKT_cells",0.46,7.33,6.69,0.0274,0.148,0.116,"WB","Compartment","muscat_edgeR"
"Ifi208","NKT_cells",0.344,7.08,5.13,0.0473,0.196,0.159,"WB","Compartment","muscat_edgeR"
"Mndal","NKT_cells",0.192,8.62,0.984,0.345,0.569,0.535,"WB","Compartment","muscat_edgeR"
"Ifi203","NKT_cells",0.19,8.15,0.89,0.368,0.588,0.556,"WB","Compartment","muscat_edgeR"
"Fh1","NKT_cells",0.0996,5.16,0.122,0.735,0.86,0.845,"WB","Compartment","muscat_edgeR"
"Cep170","NKT_cells",-0.203,4.93,0.698,0.423,0.636,0.606,"WB","Compartment","muscat_edgeR"
"Sdccag8","NKT_cells",-0.323,5.83,3.14,0.107,0.3,0.259,"WB","Compartment","muscat_edgeR"
"Akt3","NKT_cells",0.244,6.69,0.971,0.348,0.571,0.538,"WB","Compartment","muscat_edgeR"
"Adss","NKT_cells",0.287,6.91,3.46,0.093,0.279,0.238,"WB","Compartment","muscat_edgeR"
"Desi2","NKT_cells",-0.246,6.21,1.67,0.226,0.449,0.412,"WB","Compartment","muscat_edgeR"
"Cox20","NKT_cells",0.16,5.24,0.312,0.589,0.763,0.741,"WB","Compartment","muscat_edgeR"
"Hnrnpu","NKT_cells",0.0413,9.17,0.0616,0.809,0.905,0.893,"WB","Compartment","muscat_edgeR"
"Efcab2","NKT_cells",-0.31,2.98,0.192,0.671,0.821,0.803,"WB","Compartment","muscat_edgeR"
"Smyd3","NKT_cells",-0.389,7.74,4.3,0.0654,0.232,0.193,"WB","Compartment","muscat_edgeR"
